level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	5	1	1	0	265	1249	406	50	-1	
5	1	5	1	1	1	265	1249	123	47	95	ered
5	1	5	1	1	2	421	1252	47	43	94	in
5	1	5	1	1	3	500	1250	171	49	94	silt...
2	1	6	0	0	0	264	1406	1333	549	-1	
3	1	6	1	0	0	264	1406	1333	549	-1	
4	1	6	1	1	0	265	1406	1331	55	-1	
5	1	6	1	1	1	265	1406	178	46	96	Above
5	1	6	1	1	2	481	1407	83	54	95	all,
5	1	6	1	1	3	605	1408	140	47	96	there
5	1	6	1	1	4	784	1426	109	30	96	was
5	1	6	1	1	5	933	1410	83	47	96	the
5	1	6	1	1	6	1056	1411	216	47	96	colossal
5	1	6	1	1	7	1310	1412	203	48	94	fireball
5	1	6	1	1	8	1550	1416	46	43	94	in
4	1	6	1	2	0	264	1501	1333	61	-1	
5	1	6	1	2	1	264	1501	83	47	96	the
5	1	6	1	2	2	386	1502	104	59	96	sky,
5	1	6	1	2	3	531	1503	83	46	96	the
5	1	6	1	2	4	654	1507	141	55	96	giant
5	1	6	1	2	5	834	1505	133	47	95	solar
5	1	6	1	2	6	1004	1506	107	47	96	disk
5	1	6	1	2	7	1151	1507	109	47	96	that
5	1	6	1	2	8	1299	1509	211	47	95	seemed
5	1	6	1	2	9	1547	1518	50	39	96	to
4	1	6	1	3	0	267	1597	1329	66	-1	
